file,method,method_description,body_part,source,max_raw_value,max_amplitude_in_wav
angle\head.wav,angle_delta,Angle difference -> amplitude,head,head_orientation,166.511415,1.000000
angle\left_arm.wav,angle_delta,Angle difference -> amplitude,left_arm,left_elbow,175.091300,1.000000
angle\right_arm.wav,angle_delta,Angle difference -> amplitude,right_arm,right_elbow,167.420000,1.000000
angle\left_leg.wav,angle_delta,Angle difference -> amplitude,left_leg,left_knee,174.665700,1.000000
angle\right_leg.wav,angle_delta,Angle difference -> amplitude,right_leg,right_knee,170.688500,1.000000
angle\average.wav,angle_delta,Angle difference -> amplitude,average,average of all body-part wav amplitudes,95.730306,0.558993
movement\head.wav,movement,Movement amount -> amplitude,head,nose,91.444000,1.000000
movement\left_arm.wav,movement,Movement amount -> amplitude,left_arm,left_shoulder+left_elbow+left_wrist,226.434267,1.000000
movement\right_arm.wav,movement,Movement amount -> amplitude,right_arm,right_shoulder+right_elbow+right_wrist,192.654167,1.000000
movement\left_leg.wav,movement,Movement amount -> amplitude,left_leg,left_hip+left_knee+left_ankle,383.835233,1.000000
movement\right_leg.wav,movement,Movement amount -> amplitude,right_leg,right_hip+right_knee+right_ankle,410.985333,1.000000
movement\average.wav,movement,Movement amount -> amplitude,average,average of all body-part wav amplitudes,235.145040,0.879102
movement_delta\head.wav,movement_delta,Movement change amount -> amplitude,head,nose,89.207900,1.000000
movement_delta\left_arm.wav,movement_delta,Movement change amount -> amplitude,left_arm,left_shoulder+left_elbow+left_wrist,204.910000,1.000000
movement_delta\right_arm.wav,movement_delta,Movement change amount -> amplitude,right_arm,right_shoulder+right_elbow+right_wrist,161.547533,1.000000
movement_delta\left_leg.wav,movement_delta,Movement change amount -> amplitude,left_leg,left_hip+left_knee+left_ankle,374.290800,1.000000
movement_delta\right_leg.wav,movement_delta,Movement change amount -> amplitude,right_leg,right_hip+right_knee+right_ankle,397.792100,1.000000
movement_delta\average.wav,movement_delta,Movement change amount -> amplitude,average,average of all body-part wav amplitudes,213.203147,0.819106
