file,method,method_description,body_part,source,max_raw_value,max_amplitude_in_wav
angle_delta.head.wav,angle_delta,Angle difference -> amplitude,head,head_orientation,17.505072,1.000000
angle_delta.left_arm.wav,angle_delta,Angle difference -> amplitude,left_arm,left_elbow,107.063300,1.000000
angle_delta.right_arm.wav,angle_delta,Angle difference -> amplitude,right_arm,right_elbow,147.243200,1.000000
angle_delta.left_leg.wav,angle_delta,Angle difference -> amplitude,left_leg,left_knee,13.611800,1.000000
angle_delta.right_leg.wav,angle_delta,Angle difference -> amplitude,right_leg,right_knee,130.936000,1.000000
movement.head.wav,movement,Movement amount -> amplitude,head,nose,21.095000,1.000000
movement.left_arm.wav,movement,Movement amount -> amplitude,left_arm,left_shoulder+left_elbow+left_wrist,31.652067,1.000000
movement.right_arm.wav,movement,Movement amount -> amplitude,right_arm,right_shoulder+right_elbow+right_wrist,54.877067,1.000000
movement.left_leg.wav,movement,Movement amount -> amplitude,left_leg,left_hip+left_knee+left_ankle,23.695600,1.000000
movement.right_leg.wav,movement,Movement amount -> amplitude,right_leg,right_hip+right_knee+right_ankle,25.205233,1.000000
movement_delta.head.wav,movement_delta,Movement change amount -> amplitude,head,nose,12.095000,1.000000
movement_delta.left_arm.wav,movement_delta,Movement change amount -> amplitude,left_arm,left_shoulder+left_elbow+left_wrist,23.339667,1.000000
movement_delta.right_arm.wav,movement_delta,Movement change amount -> amplitude,right_arm,right_shoulder+right_elbow+right_wrist,43.696767,1.000000
movement_delta.left_leg.wav,movement_delta,Movement change amount -> amplitude,left_leg,left_hip+left_knee+left_ankle,14.702633,1.000000
movement_delta.right_leg.wav,movement_delta,Movement change amount -> amplitude,right_leg,right_hip+right_knee+right_ankle,19.965800,1.000000
